ticker,name,sector,industry,market_cap,price_as_of,is_price_fresh,shares_outstanding,beta,price,model_family,expected_irr,median_irr,p10_irr,p90_irr,above_hurdle_weight,hurdle_rate,permanent_loss_weight,worst_case_shortfall,worst_case_hurdle_gap,expected_shortfall,hurdle_cvar,intrinsic_value_low,intrinsic_value_base,intrinsic_value_high,intrinsic_value_bear,intrinsic_value_bull,scenario_order_inversion,scenario_order_note,upside_to_base,model_confidence,data_confidence,model_uncertainty,business_quality,valuation_excess,evidence_confidence,valuation_status,invalid_reason,invalid_fields,assumption_flags,valuation_alerts,requires_manual_review,roic_status,catastrophic_tail_floor_applied,catastrophic_tail_scenarios,specialist_model_note
BRK-B,Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified,1099499257123.0,2026-09-18,True,2156853594.999706,0.61,509.77,insurance,0.018726888203458608,0.05623987858481705,-0.19101116539820662,0.15343896104240695,0.25,0.12,0.25,0.19101116539820662,0.3110111653982066,0.19101116539820662,0.3110111653982066,176.6391279331805,670.1732290558368,1040.752250273192,176.6391279331805,1040.752250273192,False,,0.3146580400098806,0.6,0.8,0.19022506322030677,0.2635723426046663,-0.06376012141518295,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,936944261700.0,2026-09-18,True,2679510000.0,0.975,349.67,bank,-0.09157828832702417,-0.07830531670803875,-0.1706310754786553,-0.039071444413363854,0.0,0.12,0.75,0.1706310754786553,0.2906310754786553,0.1706310754786553,0.2906310754786553,137.2136027944438,232.5914708616682,286.4929044646471,137.2136027944438,286.4929044646471,False,,-0.3348257761270106,0.6,0.8,0.08377981553264571,0.5899339399080993,-0.19830531670803875,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,409686140700.0,2026-09-18,True,7096590000.0,1.164,57.73,bank,-0.10356553453228995,-0.08775830214540348,-0.1948927661644393,-0.04385276767391355,0.0,0.12,0.75,0.1948927661644393,0.3148927661644393,0.1948927661644393,0.3148927661644393,19.528559142961946,36.471292594208435,46.13445757759287,19.528559142961946,46.13445757759287,False,,-0.36824367583217676,0.6,0.8,0.09351999924526286,0.5354501514449488,-0.20775830214540347,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
WFC,Wells Fargo & Company,Financial Services,Banks - Diversified,260426880000.0,2026-09-18,True,3024000000.0,0.916,86.12,bank,-0.06424027349611525,-0.04735355236929595,-0.16394699394816692,0.001693004702297829,0.0,0.12,0.25,0.16394699394816692,0.2839469939481669,0.16394699394816692,0.2839469939481669,35.17815716123558,67.57137911104478,86.85148043475822,35.17815716123558,86.85148043475822,False,,-0.21538110646719955,0.6,0.8,0.10081999932523236,0.520607358086104,-0.16735355236929594,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
C,Citigroup Inc.,Financial Services,Banks - Diversified,225973690700.0,2026-09-18,True,1714909999.9999998,1.097,131.77,bank,-0.1754677756751787,-0.14437143796229268,-0.3394608133745365,-0.073667413401593,0.0,0.12,1.0,0.3394608133745365,0.4594608133745365,0.3394608133745365,0.4594608133745365,16.569503021209318,60.42865296125229,89.87755629529815,16.569503021209318,89.87755629529815,False,,-0.5414081129145307,0.6,0.8,0.15089669998647173,0.2741994436287355,-0.2643714379622927,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
WELL,Welltower Inc.,Real Estate,REIT - Healthcare Facilities,164917316158.0,2026-09-18,True,720572011.0018787,0.76,228.87,reit,-0.20672398903707243,-0.185267903002311,-0.2710922471413567,-0.185267903002311,0.0,0.12,1.0,0.2710922471413567,0.3910922471413567,0.2710922471413567,0.3910922471413567,47.09249683312294,82.16048602291288,82.16048602291288,47.09249683312294,82.16048602291288,False,,-0.6410167954606856,0.6,0.8,0.06091217206952285,0.5731769505354412,-0.305267903002311,0.48,valid,,,specialist_model_v1,,False,specialist,False,,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail
PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,125815967840.0,2026-09-18,True,933076000.0,1.316,134.84,reit,-0.08566523031747433,-0.07105433427440055,-0.12949791844669567,-0.07105433427440055,0.0,0.12,1.0,0.12949791844669567,0.24949791844669567,0.12949791844669567,0.24949791844669567,67.4012286891073,93.2760845767414,93.2760845767414,67.4012286891073,93.2760845767414,False,,-0.30824618379752744,0.6,0.8,0.04722179208614755,0.722599249260447,-0.19105433427440055,0.48,valid,,,specialist_model_v1,,False,specialist,False,,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail
PGR,The Progressive Corporation,Financial Services,Insurance - Property & Casualty,124117272000.0,2026-09-18,True,581400000.0,0.259,213.48,insurance,-0.07139378964892831,-0.04191253213249857,-0.24366632312306546,0.04191622879234935,0.0,0.12,0.25,0.24366632312306546,0.36366632312306546,0.24366632312306546,0.36366632312306546,52.835325376504876,172.33877098528433,262.1327038555834,52.835325376504876,262.1327038555834,False,,-0.19271701805656583,0.6,0.8,0.1607912759577074,0.30657828806854137,-0.16191253213249857,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
BNY,Bank of New York Mellon Corp,Financial Services,Investment - Banking & Investment Services,105558226410.0,2026-09-18,True,686379000.0,1.048,153.79,bank,-0.2190847000523789,-0.19938909111866987,-0.33219102875700846,-0.1453695892151674,0.0,0.12,1.0,0.33219102875700846,0.45219102875700845,0.33219102875700846,0.45219102875700845,20.426282873769555,50.58661432578071,70.1164322069548,20.426282873769555,70.1164322069548,False,,-0.6710669463178314,0.6,0.8,0.11141071977092051,0.4037882974777303,-0.31938909111866987,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
USB,U.S. Bancorp,Financial Services,Banks - Diversified,93557367584.0,2026-09-18,True,1557731728.005328,0.971,60.06,bank,-0.04869887760143074,-0.031976382496110345,-0.1477379345966624,0.01689518918316013,0.0,0.12,0.25,0.1477379345966624,0.2677379345966624,0.1477379345966624,0.2677379345966624,27.00543137526211,51.05227428566677,65.3079860883525,27.00543137526211,65.3079860883525,False,,-0.1499787831224314,0.6,0.8,0.10031656188991125,0.5289760691982345,-0.15197638249611034,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
